City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Kidal,ML,18.4411,1.4078,92.07,4,0,11.74,clear sky
149,Chapais,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
150,Heinola,FI,61.2056,26.0381,41.0,57,6,4.85,clear sky
151,Luderitz,NA,-26.6481,15.1594,60.12,56,55,13.6,broken clouds
152,Ardistan,IR,26.9581,56.2719,93.07,59,0,14.25,clear sky
153,Mys Shmidta,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
154,Porto Novo,CV,14.8961,-24.4956,73.85,73,1,13.49,clear sky
155,Ternate,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
156,Bambous Virieux,MU,-20.0064,57.6608,75.6,79,4,3.0,clear sky
157,Wasilla,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
158,Saint Anthony,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
159,Constitucion,MX,18.7333,-103.6833,88.83,46,41,8.23,scattered clouds
160,Ribeira Grande,PT,39.05,-27.9833,61.84,77,48,10.94,scattered clouds
161,Tidore,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
162,Galiwinku,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
163,Samarai,PG,-3.6667,152.4333,80.49,82,100,11.23,overcast clouds
164,Sile,TR,41.1754,29.6133,56.57,65,82,3.0,broken clouds
165,Svetlaya,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
166,Krasnouralsk,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
167,Moberly,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
168,Avera,NZ,-46.1927,168.8643,49.48,97,84,1.52,broken clouds
169,Chimoio,MZ,-19.1164,33.4833,67.86,88,20,6.91,few clouds
170,Dunedin,NZ,-46.6,168.3333,49.8,88,100,3.58,overcast clouds
171,Longyearbyen,SJ,78.2186,15.6401,17.44,62,40,19.57,scattered clouds
172,Ubinskoye,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
173,Nizwa,OM,22.9333,57.5333,87.8,23,0,2.06,clear sky
174,Lavrentiya,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
175,Port Lincoln,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
176,Grand River South East,MU,-20.0064,57.6608,75.6,79,4,3.0,clear sky
177,Vostok,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
178,Torbay,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
179,Berlevag,NO,59.5714,7.9877,44.64,51,99,4.83,overcast clouds
180,Bengkulu,ID,0.8,127.4,81.63,81,100,2.75,moderate rain
181,Silifke,TR,41.1754,29.6133,56.57,65,82,3.0,broken clouds
182,Tuatapere,NZ,-46.6,168.3333,49.8,88,100,3.58,overcast clouds
183,Yangjiang,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
184,Duncan,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
185,Corum,TR,41.1754,29.6133,56.57,65,82,3.0,broken clouds
186,Bandarbeyla,SO,11.2842,49.1816,84.24,72,2,2.66,clear sky
187,Umzimvubu,ZA,-33.5906,26.891,62.47,85,98,6.33,light rain
188,Susangerd,IR,26.9581,56.2719,93.07,59,0,14.25,clear sky
189,Quatre Cocos,MU,-20.0064,57.6608,75.6,79,4,3.0,clear sky
190,Sorgun,TR,41.1754,29.6133,56.57,65,82,3.0,broken clouds
191,Nanortalik,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
192,Carnarvon,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
193,Thompson,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
194,Huanren,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
195,Buala,PT,40.1629,-8.3327,67.19,59,5,3.67,clear sky
196,Roma,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
197,Walvis Bay,NA,-26.6481,15.1594,60.12,56,55,13.6,broken clouds
198,Wadena,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
199,Roald,NO,59.5714,7.9877,44.64,51,99,4.83,overcast clouds
200,Qasigiannguit,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
201,Husavik,IS,66.0449,-17.3389,41.95,90,100,2.51,overcast clouds
202,Sitka,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
203,Aripuana,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
204,Skibbereen,IE,54.6333,-8.45,60.51,80,100,13.04,overcast clouds
205,Pokhara,NP,28.2333,83.9833,67.24,71,13,7.27,few clouds
206,Abnub,EG,27.2696,31.1511,89.82,13,96,4.18,overcast clouds
207,Alice Springs,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
208,Nikki,BJ,9.9401,3.2108,74.71,90,100,12.57,heavy intensity rain
209,Abilene,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
210,Choya,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
211,Qaanaaq,GL,64.1835,-51.7216,34.41,86,20,13.8,few clouds
212,Clyde River,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
213,Makinsk,KZ,52.6292,70.4169,46.38,41,3,4.21,clear sky
214,Ponta Do Sol,CV,14.8961,-24.4956,73.85,73,1,13.49,clear sky
215,Khirkiya,IN,28.0667,95.3333,73.9,76,5,4.05,clear sky
216,Trairi,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
217,Show Low,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
218,Barentsburg,SJ,78.2186,15.6401,17.44,62,40,19.57,scattered clouds
219,Saint George,US,37.1041,-113.5841,81.63,12,0,12.66,clear sky
220,Nortelandia,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
221,Narrabri,AU,-33.65,115.3333,56.43,81,4,2.8,clear sky
222,Puerto Madryn,AR,-38.0023,-57.5575,74.95,62,0,25.32,clear sky
223,Itarema,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
224,Oktyabrskiy,RU,71.9667,102.5,3.16,97,57,9.08,broken clouds
225,Ghanzi,BW,-21.5667,21.7833,61.41,31,0,8.7,clear sky
226,Yibin,RU,54.3419,101.5036,28.67,62,61,8.5,broken clouds
227,Ruatoria,NZ,-46.6,168.3333,49.8,88,100,3.58,overcast clouds
228,San Ramon,US,37.7799,-121.978,60.49,62,40,16.11,scattered clouds
229,Benguela,AO,-12.3481,13.5456,75.92,87,5,3.91,clear sky
230,Dumas,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
231,Cidreira,BR,-22.9661,-42.0278,75.16,73,75,6.91,broken clouds
232,Harindanga,IN,28.0667,95.3333,73.9,76,5,4.05,clear sky
233,Lompoc,US,22.0752,-159.319,79.12,80,100,12.66,overcast clouds
234,Capreol,CA,69.4541,-133.0374,37.4,75,75,14.97,broken clouds
