City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Berlevag,NO,2022-05-07 19:35:35,70.8578,29.0864,37.35,81,100,26.46
121,Saskylakh,RU,2022-05-07 19:35:35,71.9167,114.0833,0.16,98,18,7.2
122,Khatanga,RU,2022-05-07 19:35:35,71.9667,102.5,-8.99,100,98,6.29
123,Lavrentiya,RU,2022-05-07 19:35:36,65.5833,-171.0,28.85,91,60,6.69
124,Ingham,US,2022-05-07 19:35:36,42.6,-84.3833,65.84,25,0,9.22
125,Babu,CN,2022-05-07 19:35:37,24.4167,111.5167,71.67,97,100,1.28
126,Saint George,US,2022-05-07 19:31:41,37.1041,-113.5841,88.63,16,0,20.71
127,Vanderhoof,CA,2022-05-07 19:35:37,54.0166,-124.0198,51.37,34,88,6.82
128,Pevek,RU,2022-05-07 19:35:38,69.7008,170.3133,25.61,90,100,5.14
129,Hereford,GB,2022-05-07 19:35:38,52.0568,-2.7148,59.99,69,48,4.38
130,Kaitangata,NZ,2022-05-07 19:35:39,-46.2817,169.8464,54.19,92,100,1.1
131,Fayaoue,NC,2022-05-07 19:35:39,-20.65,166.5333,76.53,63,72,21.94
132,Provideniya,RU,2022-05-07 19:35:25,64.3833,-173.3,32.36,89,100,7.49
133,Atambua,ID,2022-05-07 19:35:40,-9.1061,124.8925,73.27,89,36,6.71
134,Kiruna,SE,2022-05-07 19:35:40,67.8557,20.2251,31.12,69,20,14.97
135,Zhigansk,RU,2022-05-07 19:35:41,66.7697,123.3711,22.91,87,100,7.85
136,Hanzhong,CN,2022-05-07 19:35:41,33.0728,107.0303,62.76,79,2,3.76
137,Kahului,US,2022-05-07 19:33:16,20.8947,-156.47,77.02,74,40,16.11
138,Careiro Da Varzea,BR,2022-05-07 19:35:42,-3.2003,-59.8119,84.83,80,89,3.58
139,Palafrugell,ES,2022-05-07 19:35:42,41.9174,3.1631,70.43,38,91,1.01
140,Khor,RU,2022-05-07 19:35:43,47.8861,134.9464,40.37,69,100,5.26
141,Muros,ES,2022-05-07 19:35:43,42.7762,-9.0603,72.68,72,100,3.47
142,Merta,IN,2022-05-07 19:35:43,26.65,74.0333,90.21,15,0,8.63
143,Barreirinha,BR,2022-05-07 19:35:44,-2.7933,-57.07,83.16,79,97,2.98
144,Lamu,KE,2022-05-07 19:35:44,-2.2717,40.902,82.62,83,92,16.58
145,Kismayo,SO,2022-05-07 19:35:45,-0.3582,42.5454,80.42,86,82,10.76
146,Camacha,PT,2022-05-07 19:35:45,33.0833,-16.3333,60.22,77,20,10.36
147,Faanui,PF,2022-05-07 19:35:46,-16.4833,-151.75,81.37,76,0,7.47
148,Marzuq,YE,2022-05-07 19:35:46,14.4,46.4667,76.35,40,97,6.11
149,Sao Filipe,CV,2022-05-07 19:35:46,14.8961,-24.4956,73.71,79,44,16.89
150,Flinders,AU,2022-05-07 19:35:47,-34.5833,150.8552,56.17,63,0,8.01
151,Salinas,US,2022-05-07 19:34:11,36.6777,-121.6555,72.99,62,75,17.27
152,Kununurra,AU,2022-05-07 19:35:47,-15.7667,128.7333,71.58,37,2,6.91
153,Hasaki,JP,2022-05-07 19:35:48,35.7333,140.8333,61.29,90,44,14.09
154,Talnakh,RU,2022-05-07 19:35:48,69.4865,88.3972,7.5,81,4,13.53
155,Bonavista,CA,2022-05-07 19:35:49,48.6499,-53.1147,37.53,66,81,20.36
156,Beringovskiy,RU,2022-05-07 19:35:49,63.05,179.3167,32.67,86,99,7.36
157,Dmytrivka,UA,2022-05-07 19:35:50,45.9717,28.9864,47.05,52,57,7.07
158,Hit,IQ,2022-05-07 19:35:50,33.6416,42.8251,69.46,31,2,3.62
159,Grand Gaube,MU,2022-05-07 19:35:50,-20.0064,57.6608,77.38,73,9,8.01
160,Saint-Francois,FR,2022-05-07 19:35:46,46.4154,3.9054,58.44,67,40,8.05
161,Ahipara,NZ,2022-05-07 19:35:51,-35.1667,173.1667,56.86,84,28,3.6
162,Tasiilaq,GL,2022-05-07 19:35:51,65.6145,-37.6368,32.16,70,97,5.95
163,La Ronge,CA,2022-05-07 19:35:52,55.1001,-105.2842,61.02,41,75,6.91
164,Pacific Grove,US,2022-05-07 19:35:52,36.6177,-121.9166,71.55,73,40,17.27
165,Lilongwe,MW,2022-05-07 19:35:22,-13.9669,33.7873,64.26,71,49,2.59
166,Jawhar,SO,2022-05-07 19:35:53,2.7809,45.5005,79.66,82,97,13.4
167,San Juan,AR,2022-05-07 19:34:39,-31.5375,-68.5364,79.41,17,100,9.55
168,Namatanai,PG,2022-05-07 19:35:53,-3.6667,152.4333,79.5,84,54,8.3
169,Koungou,YT,2022-05-07 19:35:54,-12.7336,45.2042,80.31,83,20,8.05
170,Panama City,PA,2022-05-07 19:35:54,8.9936,-79.5197,89.38,73,40,17.27
171,Te Anau,NZ,2022-05-07 19:35:01,-45.4167,167.7167,56.95,96,100,1.07
172,Carira,BR,2022-05-07 19:35:55,-10.3608,-37.7011,77.9,60,33,12.5
173,Alice Springs,AU,2022-05-07 19:35:55,-23.7,133.8833,35.15,69,0,0.0
