City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Bandarbeyla,SO,84.24,clear sky,11.2842,49.1816,Red Sea Hotel
187,Umzimvubu,ZA,62.47,light rain,-33.5906,26.891,The Halyards Hotel
188,Susangerd,IR,93.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
189,Quatre Cocos,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
195,Buala,PT,67.19,clear sky,40.1629,-8.3327,Casa Maquia
202,Sitka,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
203,Aripuana,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
204,Skibbereen,IE,60.51,overcast clouds,54.6333,-8.45,Tara Hotel
205,Pokhara,NP,67.24,few clouds,28.2333,83.9833,OYO 170 Hotel View Point
206,Abnub,EG,89.82,overcast clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
208,Nikki,BJ,74.71,heavy intensity rain,9.9401,3.2108,Monnon
209,Abilene,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
214,Ponta Do Sol,CV,73.85,clear sky,14.8961,-24.4956,Hotel Xaguate
215,Khirkiya,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
216,Trairi,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
217,Show Low,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
219,Saint George,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
220,Nortelandia,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
222,Puerto Madryn,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
223,Itarema,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
225,Ghanzi,BW,61.41,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
228,San Ramon,US,60.49,scattered clouds,37.7799,-121.978,San Ramon Marriott
229,Benguela,AO,75.92,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
230,Dumas,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
231,Cidreira,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
232,Harindanga,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
233,Lompoc,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
237,Tebingtinggi,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
238,Sola,VU,75.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
239,Saquarema,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
240,Battle Creek,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
241,Guerrero Negro,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
242,Inhambane,MZ,67.86,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
243,Souillac,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
246,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
249,Viligili,MV,84.2,light rain,-0.6,73.0833,Scoop Guest House
250,Half Moon Bay,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
251,Am Timan,TD,95.77,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
252,Chitral,PK,81.36,clear sky,25.2088,64.6357,Kenara Colony house for Rent
253,Beatrice,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
254,Along,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
255,San Patricio,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
258,Maldonado,UY,74.59,few clouds,-34.6667,-54.9167,La Cimarrona
259,Cabo San Lucas,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
261,Nzega,TZ,65.5,overcast clouds,-10.6833,35.65,mtakuja
264,Santander,ES,70.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
265,Tallahassee,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
266,Saint-Joseph,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
268,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
269,Tual,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
273,Palabuhanratu,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
275,Ouargaye,BF,97.29,clear sky,11.5033,0.0572,Résidence le Cotonnier
279,Imbituba,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
281,San Cristobal,EC,80.31,overcast clouds,0.6,-80.0333,Quinta Samay
282,Jawhar,SO,84.24,clear sky,11.2842,49.1816,Red Sea Hotel
283,Acapulco,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
284,Isangel,VU,75.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
289,Fortuna,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
293,Santa Rosa,US,60.49,scattered clouds,37.7799,-121.978,San Ramon Marriott
297,Garissa,KE,80.38,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
299,Viedma,AR,74.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
300,Houma,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
301,Pontianak,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
